Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
846	"YORK NORTH"	"Ontario"	"1867 - 2003"	31	"1979.05.22"	1318	"602fcebd-5edd-4347-a75e-d58763e79b0e"	"GAMBLE, John"	"Progressive Conservative Party"	"Tax lawyer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
748	"TRINITY"	"Ontario"	"1933 - 1987"	31	"1979.05.22"	1323	"608d24d3-2228-4a1c-9f28-30630d28a48f"	"NICHOLSON, Aideen"	"Liberal Party of Canada"	"Executive director, social worker, teacher"		0	2								""	"Ireland"	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
822	"WINNIPEG NORTH"	"Manitoba"	"1914 - 1997"	31	"1979.05.22"	1329	"6116d4fa-3305-4f4b-881b-249e81d2a572"	"ORLIKOW, David"	"New Democratic Party"	"Labour educator, pharmacist"		0	7								""	""	""		""	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	31	"1979.05.22"	1332	"612093e7-6284-4407-b990-dafc7c35485e"	"COOPER, George"	"Progressive Conservative Party"	"Lawyer"		0	1			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
505	"NOTRE-DAME-DE-GRACE"	"Quebec"	"1947 - 1980"	31	"1979.05.22"	1353	"62c8fd64-eb59-4bf9-b138-bd43854deedf"	"ALLMAND, Warren"	"Liberal Party of Canada"	"Barrister and solicitor, lawyer"		0	5								""	""	""		""	"9"	"2"	"1"	"9"	"1"	"2"	"9"	"1"
450	"MISSISSAUGA NORTH"	"Ontario"	"1976 - 1987"	31	"1979.05.22"	1356	"62f0c830-7f96-466d-b21a-6f840dbd7646"	"JUPP, Alex"	"Progressive Conservative Party"	"Businessman, teacher"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
520	"OTTAWA CENTRE"	"Ontario"	"1966 - "	31	"1979.05.22"	1360	"63505ea1-432e-4474-afbc-943bcd5ac951"	"EVANS, John"	"Liberal Party of Canada"	"Economist, professor"		0	1								""	"United States"	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
407	"LOTBINIERE"	"Quebec"	"1867 - 2000"	31	"1979.09.23"	1369	"63f3f982-68c0-4d58-91a8-75fa11691181"	"JANELLE, Richard"	"Progressive Conservative Party"	""		1	2			1					""	""	""		""	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
182	"DRUMMOND"	"Quebec"	"1966 - "	31	"1979.05.22"	1374	"6448f5e7-32cc-442f-ac16-39e5b1aa483a"	"PINARD, Yvon"	"Liberal Party of Canada"	"Lawyer"		1	2								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
604	"RESTIGOUCHE"	"New Brunswick"	"1966 - 1989"	31	"1979.05.22"	1396	"66096f07-d64e-4c5e-9e23-fef964dae93c"	"HARQUAIL, Maurice"	"Liberal Party of Canada"	"Claim adjuster"		0	2								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"2"	"1"
86	"BURIN--ST. GEORGE'S"	"Newfoundland and Labrador"	"1976 - 1996"	31	"1979.05.22-1979.06.18"	1403	"66de74f9-20dd-4ce5-9677-c4d17b6baa34"	"JAMIESON, Don"	"Liberal Party of Canada"	"Broadcaster, radio & t.v. studio equipment operator"		0	5								""	""	"Resignation. Enters provincial politics in Newfoundland. Appointed leader of the Liberal Party of Newfoundland: 1979.06.18"		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
35	"BEACHES"	"Ontario"	"1976 - 1987"	31	"1979.05.22"	1414	"67b4d446-60b9-402d-9378-0d962c1b2149"	"RICHARDSON, Robin"	"Progressive Conservative Party"	"Economist"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
256	"GREY--SIMCOE"	"Ontario"	"1966 - 1987"	31	"1979.05.22"	1415	"67b4f925-6633-435c-a34b-55dabc7de32d"	"MITGES, Gus"	"Progressive Conservative Party"	"Veterinarian, veterinary surgeon"		0	3								""	"Greece"	""		""	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
