Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H11S1V001	H11S1V002	H11S1V003	H11S1V004	H11S1V005	H11S1V006	H11S1V007	H11S1V008	H11S1V009	H11S1V010	H11S1V011	H11S1V012	H11S1V013	H11S2V001	H11S2V002	H11S2V003	H11S2V004	H11S2V005	H11S2V006	H11S2V007	H11S2V008	H11S2V009	H11S2V010	H11S2V011	H11S2V012	H11S2V013	H11S2V014	H11S2V015	H11S2V016	H11S2V017	H11S2V018	H11S2V019	H11S2V020	H11S2V021	H11S2V022	H11S2V023	H11S3V001	H11S3V002	H11S3V003	H11S3V004	H11S3V005	H11S3V006	H11S3V007	H11S3V008	H11S3V009	H11S3V010	H11S3V011	H11S3V012	H11S3V013	H11S3V014	H11S3V015	H11S3V016	H11S3V017	H11S3V018	H11S3V019	H11S3V020	H11S3V021	H11S3V022	H11S3V023
664	"SASKATOON"	"Saskatchewan"	"1907 - 1933"	11	"1908.10.26"	822	"3c4baf55-14fb-4a25-b312-608392b9c3a3"	"MCCRANEY, George Ewan"	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	2									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"
298	"HUNTINGDON"	"Quebec"	"1867 - 1914"	11	"1908.10.26"	824	"3c716a03-43b1-401d-820f-7921b10e5565"	"ROBB, James Alexander"	"Liberal Party of Canada"	"Merchant, miller"	"Protestant"	0	1									""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"9"	"2"	"1"	"1"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"
152	"COLCHESTER"	"Nova Scotia"	"1867 - 1933"	11	"1908.10.26"	862	"3e9eaadb-7fa5-4651-94a6-03dcbe5d7fb5"	"STANFIELD, John"	"Conservative (1867-1942)"	"Industrialist"	"Protestant"	0	2									""	""		""	"2"	"9"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"2"	"9"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"1"
415	"MACLEOD"	"Alberta"	"1907 - 1966"	11	"1908.10.26"	888	"4080fe01-bb47-413a-8f32-e4f7c4c4c3de"	"HERRON, John"	"Liberal-Conservative"	"Rancher"	"Protestant"	0	2									""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"9"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
339	"KINGS"	"Nova Scotia"	"1867 - 1924"	11	"1908.10.26"	894	"40fc41ed-f3f0-41b5-bb07-da9a6af9d52f"	"BORDEN, Hon. Sir Frederick W."	"Liberal Party of Canada"	"Physician"	"Protestant"	0	8		1							""	""		""	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"2"	"9"	"1"	"9"	"1"	"2"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"2"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"9"	"2"
16	"ANTIGONISH"	"Nova Scotia"	"1867 - 1914"	11	"1908.10.26"	909	"4220103a-c5df-4b1f-989a-17b7709f2c5c"	"CHISHOLM, William"	"Liberal Party of Canada"	"Lawyer, teacher"	"Catholic"	0	2									""	""		""	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"2"	"2"
123	"CARLETON"	"Ontario"	"1867 - 1966"	11	"1909.02.22"	916	"42bcdaad-d952-4e38-9d69-03abfc233511"	"KIDD, Edward"	"Conservative (1867-1942)"	"Cheese maker, farmer"	"Protestant"	0	3									""	""		""	"99"	"2"	"2"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"1"	"2"	"9"	"2"	"2"	"2"	"9"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
835	"YALE--CARIBOO"	"British Columbia"	"1892 - 1914"	11	"1908.10.26"	923	"431f1aea-d84b-44d7-82cc-340110a7e97d"	"BURRELL, Martin"	"Conservative (1867-1942)"	"Author, fruit grower, parliamentary librarian"	"Protestant"	0	1									"England"	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"9"	"1"	"9"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"
18	"ARGENTEUIL"	"Quebec"	"1867 - 1947"	11	"1908.10.26"	938	"4430053b-1f47-481d-9354-7a7535f63be9"	"PERLEY, George Halsey"	"Conservative (1867-1942)"	"Lumber merchant"	"Protestant"	0	2									"United States"	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"2"	"9"	"2"	"2"	"9"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"
796	"WELLINGTON NORTH"	"Ontario"	"1867 - 1952"	11	"1908.10.26"	940	"44492e53-92b7-4b3a-bd2c-1b59457ff249"	"MARTIN, Alexander Munro"	"Liberal Party of Canada"	"Businessman"	"Protestant"	0	2									""	""		""	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"2"	"1"	"2"	"1"	"1"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"
