session,division,party,dissenters,names,whip_status,subject
43-2,72,Liberal,3,Steven MacKinnon (Gatineau); John McKay (Scarborough—Guildwood); Marcus Powlowski (Thunder Bay—Rainy River),category_proxy_other,"Motion respecting Senate amendments to Bill C-7, An Act to amend the Criminal Code (medical assistance in dying)"
43-2,102,Liberal,3,Nathaniel Erskine-Smith (Beaches—East York); Wayne Long (Saint John—Rothesay); Lenore Zann (Cumberland—Colchester),category_proxy_other,"2nd reading of Bill C-29, An Act to provide for the resumption and continuation of operations at the Port of Montreal"
39-2,112,Conservative,2,John Cummins (Delta—Richmond East); Art Hanger (Calgary Northeast),category_proxy_other,"2nd reading of Bill C-34, An Act to give effect to the Tsawwassen First Nation Final Agreement and to make consequential amendments to other Acts"
43-2,39,Liberal,2,Nathaniel Erskine-Smith (Beaches—East York); Marcus Powlowski (Thunder Bay—Rainy River),category_proxy_other,"3rd reading and adoption of Bill C-7, An Act to amend the Criminal Code (medical assistance in dying)"
44-1,333,Liberal,2,Brendan Hanley (Yukon); Michael McLeod (Northwest Territories),category_proxy_other,"3rd reading and adoption of Bill C-21, An Act to amend certain Acts and to make certain consequential amendments (firearms)"
45-1,92,Liberal,2,Jake Sawatzky (New Westminster—Burnaby—Maillardville); Louis Villeneuve (Brome—Missisquoi),category_proxy_other,"Bill C-9, An Act to amend the Criminal Code (hate propaganda, hate crime and access to religious or cultural places) (recommittal to a committee)"
38-1,11,Liberal,1,Andrew Telegdi (Kitchener—Waterloo),category_proxy_other,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,14,Liberal,1,Alan Tonks (York South—Weston),category_proxy_other,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,171,Liberal,1,Larry Bagnell (Yukon),category_proxy_other,"3rd reading and adoption of Bill C-28, An Act to amend the Food and Drugs Act"
39-1,196,Conservative,1,Bill Casey (Cumberland—Colchester—Musquodoboit Valley),category_proxy_other,"Concurrence at report stage of Bill C-52, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007"
42-1,44,Liberal,1,Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley),category_proxy_other,"2nd reading of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures"
42-1,49,Liberal,1,Robert-Falcon Ouellette (Winnipeg Centre),documented_free,"2nd reading of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)"
42-1,70,Liberal,1,Robert-Falcon Ouellette (Winnipeg Centre),documented_free,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)"
42-1,75,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),unresolved,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (recommittal to a committee)"
42-1,77,Liberal,1,Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley),category_proxy_other,"3rd reading and adoption of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures"
42-1,343,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Bill S-3, An Act to amend the Indian Act (elimination of sex-based inequities in registration) (report stage amendment)"
42-1,344,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Bill S-3, An Act to amend the Indian Act (elimination of sex-based inequities in registration) (report stage amendment)"
42-1,733,Liberal,1,Dan Vandal (Saint Boniface—Saint Vital),category_proxy_other,"Bill C-74, An Act to implement certain provisions of the budget tabled in Parliament on February 27, 2018 and other measures (recommittal to a committee)"
42-1,933,Liberal,1,Marwan Tabbara (Kitchener South—Hespeler),category_proxy_other,"2nd reading of Bill C-85, An Act to amend the Canada-Israel Free Trade Agreement Implementation Act and to make related amendments to other Acts"
43-2,27,Liberal,1,Marcus Powlowski (Thunder Bay—Rainy River),category_proxy_other,"Concurrence at report stage of Bill C-7, An Act to amend the Criminal Code (medical assistance in dying)"
43-2,105,Liberal,1,Soraya Martinez Ferrada (Hochelaga),category_proxy_other,"2nd reading of Bill C-12, An Act respecting transparency and accountability in Canada's efforts to achieve net-zero greenhouse gas emissions by the year 2050 (reasoned amendment)"
44-1,64,Liberal,1,Leah Taylor Roy (Aurora—Oak Ridges—Richmond Hill),category_proxy_other,"Bill C-8, An Act to implement certain provisions of the economic and fiscal update tabled in Parliament on December 14, 2021 and other measures (report stage amendment)"
44-1,320,Liberal,1,Anthony Housefather (Mount Royal),category_proxy_other,"Concurrence at report stage of Bill C-13, An Act to amend the Official Languages Act, to enact the Use of French in Federally Regulated Private Businesses Act and to make related amendments to other Acts"
44-1,323,Liberal,1,Anthony Housefather (Mount Royal),category_proxy_other,"3rd reading and adoption of Bill C-13, An Act to amend the Official Languages Act, to enact the Use of French in Federally Regulated Private Businesses Act and to make related amendments to other Acts"
44-1,410,Liberal,1,Judy A. Sgro (Humber River—Black Creek),category_proxy_other,"2nd reading of Bill C-33, An Act to amend the Customs Act, the Railway Safety Act, the Transportation of Dangerous Goods Act, 1992, the Marine Transportation Security Act, the Canada Transportation Act and the Canada Marine Act and to make a consequential amendment to another Act (reasoned amendment)"
44-1,626,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Bill C-57, An Act to implement the 2023 Free Trade Agreement between Canada and Ukraine (recommittal to a committee)"
44-1,641,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"2nd reading of Bill C-62, An Act to amend An Act to amend the Criminal Code (medical assistance in dying), No. 2"
44-1,646,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"3rd reading and adoption of Bill C-62, An Act to amend An Act to amend the Criminal Code (medical assistance in dying), No. 2"
45-1,23,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Bill C-5, An Act to enact the Free Trade and Labour Mobility in Canada Act and the Building Canada Act (report stage amendment) (Motion 1)"
45-1,31,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Bill C-5, An Act to enact the Free Trade and Labour Mobility in Canada Act and the Building Canada Act (report stage amendment) (Motion 19)"
45-1,32,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"Concurrence at report stage of Bill C-5, An Act to enact the Free Trade and Labour Mobility in Canada Act and the Building Canada Act"
45-1,34,Liberal,1,Nathaniel Erskine-Smith (Beaches—East York),category_proxy_other,"3rd reading and adoption of Bill C-5, An Act to enact the Free Trade and Labour Mobility in Canada Act and the Building Canada Act (Part 2)"
