session,division,party,date,governing,category,stage,bill,bill_type_source,whip_status,member_scope,source_id,majority_defined,dissenters,binary_members,contested,subject
38-1,15,Green Party,2004-11-23T18:15:20,False,government_bill,,C-21,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-21, An Act respecting not-for-profit corporations and other corporations without share capital (referral to a committee before second reading)"
38-1,16,Conservative,2004-11-23T18:25:48,False,government_bill,second_reading,C-23,legisinfo,category_proxy_other,unknown,,True,0,88,True,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts"
38-1,16,Liberal,2004-11-23T18:25:48,True,government_bill,second_reading,C-23,legisinfo,category_proxy_other,unknown,,True,0,113,True,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts"
38-1,16,NDP,2004-11-23T18:25:48,False,government_bill,second_reading,C-23,legisinfo,category_proxy_other,unknown,,True,0,19,True,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts"
38-1,16,Bloc Québécois,2004-11-23T18:25:48,False,government_bill,second_reading,C-23,legisinfo,category_proxy_other,unknown,,True,0,48,True,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts"
38-1,16,Green Party,2004-11-23T18:25:48,False,government_bill,second_reading,C-23,legisinfo,category_proxy_other,unknown,,False,,0,True,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts"
38-1,17,Conservative,2004-11-30T15:05:56,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,88,True,Opposition Motion (Mirabel Airport)
38-1,17,Liberal,2004-11-30T15:05:56,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,117,True,Opposition Motion (Mirabel Airport)
38-1,17,NDP,2004-11-30T15:05:56,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,17,True,Opposition Motion (Mirabel Airport)
38-1,17,Bloc Québécois,2004-11-30T15:05:56,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,51,True,Opposition Motion (Mirabel Airport)
38-1,17,Green Party,2004-11-30T15:05:56,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (Mirabel Airport)
38-1,18,Conservative,2004-12-01T17:45:28,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,79,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,18,Liberal,2004-12-01T17:45:28,True,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,119,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,18,NDP,2004-12-01T17:45:28,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,17,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
38-1,18,Bloc Québécois,2004-12-01T17:45:28,False,government_bill,report_stage,C-5,legisinfo,category_proxy_other,unknown,,True,0,34,True,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)"
