session,category,bill,divisions,with_dissent,dissent_rate
41-1,private_members_business,C-307,1,1,100.0
41-1,private_members_business,C-308,1,0,0.0
41-1,private_members_business,C-309,3,0,0.0
41-1,private_members_business,C-310,1,0,0.0
41-1,private_members_business,C-311,1,0,0.0
41-1,private_members_business,C-312,1,0,0.0
41-1,private_members_business,C-314,2,0,0.0
41-1,private_members_business,C-315,1,0,0.0
41-1,private_members_business,C-316,4,0,0.0
41-1,private_members_business,C-321,1,0,0.0
41-1,private_members_business,C-326,1,0,0.0
41-1,private_members_business,C-350,3,0,0.0
41-1,private_members_business,C-370,3,0,0.0
41-1,private_members_business,C-377,5,2,40.0
41-1,private_members_business,C-380,1,1,100.0
41-1,private_members_business,C-383,3,0,0.0
41-1,private_members_business,C-394,3,0,0.0
41-1,private_members_business,C-398,1,1,100.0
41-1,private_members_business,C-399,1,0,0.0
41-1,private_members_business,C-400,1,0,0.0
41-1,private_members_business,C-419,2,0,0.0
41-1,private_members_business,C-420,1,1,100.0
41-1,private_members_business,C-424,1,0,0.0
41-1,private_members_business,C-425,1,0,0.0
41-1,private_members_business,C-427,1,1,100.0
41-1,private_members_business,C-428,1,0,0.0
41-1,private_members_business,C-429,1,0,0.0
41-1,private_members_business,C-452,1,0,0.0
41-1,private_members_business,C-457,1,0,0.0
41-1,private_members_business,C-458,1,0,0.0
41-1,private_members_business,C-459,1,0,0.0
41-1,private_members_business,C-460,1,1,100.0
41-1,private_members_business,C-462,1,0,0.0
41-1,private_members_business,C-463,1,0,0.0
41-1,private_members_business,C-464,1,1,100.0
41-1,private_members_business,C-476,1,0,0.0
41-1,private_members_business,C-478,1,0,0.0
41-1,private_members_business,C-480,1,0,0.0
41-1,private_members_business,S-206,1,0,0.0
41-1,private_members_business,S-209,2,2,100.0
41-1,private_members_business,S-213,1,0,0.0
41-2,government_bill,C-13,4,0,0.0
41-2,government_bill,C-15,2,0,0.0
41-2,government_bill,C-18,4,0,0.0
41-2,government_bill,C-2,5,0,0.0
41-2,government_bill,C-20,4,0,0.0
41-2,government_bill,C-21,1,0,0.0
41-2,government_bill,C-23,18,0,0.0
41-2,government_bill,C-24,5,0,0.0
41-2,government_bill,C-26,1,0,0.0
41-2,government_bill,C-27,1,0,0.0
41-2,government_bill,C-31,22,0,0.0
41-2,government_bill,C-32,2,0,0.0
41-2,government_bill,C-33,1,0,0.0
41-2,government_bill,C-35,1,0,0.0
41-2,government_bill,C-36,4,0,0.0
41-2,government_bill,C-4,19,0,0.0
41-2,government_bill,C-40,2,0,0.0
41-2,government_bill,C-41,2,0,0.0
41-2,government_bill,C-42,1,0,0.0
41-2,government_bill,C-43,7,0,0.0
41-2,government_bill,C-44,3,0,0.0
41-2,government_bill,C-46,1,0,0.0
41-2,government_bill,C-5,2,0,0.0
41-2,government_bill,C-50,1,0,0.0
41-2,government_bill,C-51,6,0,0.0
41-2,government_bill,C-59,13,0,0.0
41-2,government_bill,C-6,4,0,0.0
41-2,government_bill,C-7,1,0,0.0
41-2,government_bill,S-2,3,0,0.0
41-2,government_bill,S-4,5,0,0.0
41-2,government_bill,S-6,5,0,0.0
41-2,government_bill,S-7,3,0,0.0
41-2,private_members_business,C-201,1,0,0.0
41-2,private_members_business,C-208,1,0,0.0
41-2,private_members_business,C-247,2,0,0.0
41-2,private_members_business,C-356,1,1,100.0
41-2,private_members_business,C-428,3,0,0.0
41-2,private_members_business,C-473,1,0,0.0
41-2,private_members_business,C-474,1,1,100.0
41-2,private_members_business,C-475,1,0,0.0
41-2,private_members_business,C-479,2,0,0.0
41-2,private_members_business,C-481,1,0,0.0
41-2,private_members_business,C-483,2,0,0.0
41-2,private_members_business,C-486,1,1,100.0
41-2,private_members_business,C-489,1,0,0.0
41-2,private_members_business,C-504,1,0,0.0
41-2,private_members_business,C-513,1,0,0.0
41-2,private_members_business,C-518,3,2,66.666667
41-2,private_members_business,C-520,5,3,60.0
41-2,private_members_business,C-524,1,0,0.0
41-2,private_members_business,C-525,5,0,0.0
41-2,private_members_business,C-539,1,1,100.0
41-2,private_members_business,C-555,1,0,0.0
41-2,private_members_business,C-560,1,1,100.0
41-2,private_members_business,C-565,1,0,0.0
41-2,private_members_business,C-567,1,1,100.0
41-2,private_members_business,C-568,1,0,0.0
41-2,private_members_business,C-571,1,1,100.0
41-2,private_members_business,C-574,1,0,0.0
41-2,private_members_business,C-579,1,0,0.0
41-2,private_members_business,C-583,2,0,0.0
41-2,private_members_business,C-584,1,0,0.0
41-2,private_members_business,C-586,2,2,100.0
41-2,private_members_business,C-587,1,0,0.0
41-2,private_members_business,C-588,1,1,100.0
41-2,private_members_business,C-591,1,0,0.0
41-2,private_members_business,C-597,1,1,100.0
41-2,private_members_business,C-603,1,1,100.0
41-2,private_members_business,C-608,1,0,0.0
41-2,private_members_business,C-613,1,0,0.0
41-2,private_members_business,C-622,1,1,100.0
41-2,private_members_business,C-624,1,1,100.0
41-2,private_members_business,C-625,1,0,0.0
41-2,private_members_business,C-626,1,1,100.0
41-2,private_members_business,C-628,1,0,0.0
41-2,private_members_business,C-636,1,1,100.0
41-2,private_members_business,C-637,1,0,0.0
41-2,private_members_business,C-638,1,1,100.0
41-2,private_members_business,C-640,1,0,0.0
41-2,private_members_business,C-641,1,0,0.0
41-2,private_members_business,C-642,1,0,0.0
41-2,private_members_business,C-643,1,0,0.0
41-2,private_members_business,S-211,2,0,0.0
41-2,private_members_business,S-213,1,0,0.0
41-2,private_members_business,S-219,1,0,0.0
41-2,private_members_business,S-221,1,0,0.0
42-1,government_bill,C-10,5,2,40.0
42-1,government_bill,C-101,1,0,0.0
42-1,government_bill,C-14,3,3,100.0
42-1,government_bill,C-15,7,0,0.0
42-1,government_bill,C-16,1,0,0.0
42-1,government_bill,C-17,1,0,0.0
42-1,government_bill,C-18,1,0,0.0
42-1,government_bill,C-2,3,0,0.0
42-1,government_bill,C-21,1,0,0.0
42-1,government_bill,C-22,11,0,0.0
42-1,government_bill,C-23,3,0,0.0
42-1,government_bill,C-24,5,0,0.0
