division_id,official_date,deposit_date,date_matches
H39S1V011,2006-06-05,2006-06-05,True
H39S1V012,2006-06-06,2006-06-06,True
H39S1V013,2006-06-06,2006-06-06,True
H39S1V014,2006-06-06,2006-06-06,True
H39S1V015,2006-06-07,2006-06-07,True
H39S1V016,2006-06-13,2006-06-13,True
H39S1V017,2006-06-13,2006-06-13,True
H39S1V018,2006-06-13,2006-06-13,True
H39S1V019,2006-06-13,2006-06-13,True
H39S1V020,2006-06-20,2006-06-20,True
H39S1V021,2006-06-20,2006-06-20,True
H39S1V022,2006-06-20,2006-06-20,True
H39S1V023,2006-06-20,2006-06-20,True
H39S1V024,2006-06-20,2006-06-20,True
H39S1V025,2006-06-21,2006-06-21,True
H39S1V026,2006-06-21,2006-06-21,True
H39S1V027,2006-06-21,2006-06-21,True
H39S1V028,2006-06-21,2006-06-21,True
H39S1V029,2006-06-21,2006-06-21,True
H39S1V030,2006-06-21,2006-06-21,True
H39S1V031,2006-06-21,2006-06-21,True
H39S1V032,2006-06-21,2006-06-21,True
H39S1V033,2006-09-19,2006-09-19,True
H39S1V034,2006-09-20,2006-09-20,True
H39S1V035,2006-09-27,2006-09-27,True
H39S1V036,2006-10-03,2006-10-03,True
H39S1V037,2006-10-04,2006-10-04,True
H39S1V038,2006-10-04,2006-10-04,True
H39S1V039,2006-10-04,2006-10-04,True
H39S1V040,2006-10-16,2006-10-16,True
H39S1V041,2006-10-16,2006-10-16,True
H39S1V042,2006-10-18,2006-10-18,True
H39S1V043,2006-10-18,2006-10-18,True
H39S1V044,2006-10-18,2006-10-18,True
H39S1V045,2006-10-18,2006-10-18,True
H39S1V046,2006-10-24,2006-10-24,True
H39S1V047,2006-10-24,2006-10-24,True
H39S1V048,2006-10-25,2006-10-25,True
H39S1V049,2006-10-25,2006-10-25,True
H39S1V050,2006-10-25,2006-10-25,True
H39S1V051,2006-10-25,2006-10-25,True
H39S1V052,2006-11-01,2006-11-01,True
H39S1V053,2006-11-01,2006-11-01,True
H39S1V054,2006-11-01,2006-11-01,True
H39S1V055,2006-11-07,2006-11-07,True
H39S1V056,2006-11-07,2006-11-07,True
H39S1V057,2006-11-07,2006-11-07,True
H39S1V058,2006-11-07,2006-11-07,True
H39S1V059,2006-11-07,2006-11-07,True
H39S1V060,2006-11-08,2006-11-08,True
H39S1V061,2006-11-08,2006-11-08,True
H39S1V062,2006-11-08,2006-11-08,True
H39S1V063,2006-11-08,2006-11-08,True
H39S1V064,2006-11-21,2006-11-21,True
H39S1V065,2006-11-21,2006-11-21,True
H39S1V066,2006-11-21,2006-11-21,True
H39S1V067,2006-11-21,2006-11-21,True
H39S1V068,2006-11-22,2006-11-22,True
H39S1V069,2006-11-22,2006-11-22,True
