parliament,deposit_term_id,deposit_name,deposit_constituency,person_id,method,observable_records
38,4001,"AMBROSE, Rona",EDMONTON--SPRUCE GROVE,25447,full_name,182
38,4002,"WHITE, Randy",ABBOTSFORD,1474,full_name,116
38,4006,"KEDDY, Gerald",SOUTH SHORE--ST. MARGARET'S,91,full_name,148
38,4007,"GRAHAM, Bill",TORONTO CENTRE,1041,full_name,183
38,4008,"BEAUMIER, Colleen",BRAMPTON WEST,542,full_name,139
38,4009,"SAVAGE, Michael John",DARTMOUTH--COLE HARBOUR,59,surname_constituency,186
38,4011,"SIMMS, Scott",BONAVISTA--EXPLOITS,25456,full_name,170
38,4012,"CARDIN, Serge",SHERBROOKE,1683,full_name,186
38,4014,"CARRIER, Robert",ALFRED-PELLAN,25487,full_name,188
38,4016,"CHRISTOPHERSON, David",HAMILTON CENTRE,25489,full_name,183
38,4017,"LOUBIER, Yvan",SAINT-HYACINTHE--BAGOT,447,full_name,185
38,4019,"MILLER, Larry",GREY--BRUCE--OWEN SOUND,25522,full_name,184
38,4022,"EFFORD, R. John",AVALON,4443,surname_constituency,135
38,4023,"GUAY, Monique",RIVIERE-DU-NORD,308,full_name,180
38,4031,"DEVOLIN, Barry",HALIBURTON--KAWARTHA LAKES--BROCK,25497,full_name,185
38,4033,"PENSON, Charlie",PEACE RIVER,1387,full_name,163
38,4036,"MCLELLAN, Anne",EDMONTON CENTRE,1355,full_name,180
38,4038,"HARRISON, Jeremy",CHURCHILL RIVER,25507,full_name,178
38,4041,"GUIMOND, Michel",CHARLEVOIX--MONTMORENCY,181,full_name,189
38,4042,"JAFFER, Rahim",EDMONTON--STRATHCONA,1347,full_name,179
38,4048,"TORSNEY, Paddy",BURLINGTON,566,full_name,180
38,4049,"DESJARLAIS, Bev",CHURCHILL,1137,full_name,142
38,4049.1,"DESJARLAIS, Bev",CHURCHILL,1137,full_name,18
38,4056,"LALONDE, Francine",LA POINTE-DE-L'ILE,362,full_name,186
38,4057,"SORENSON, Kevin",CROWFOOT,1832,full_name,183
38,4058,"LAVALLEE, Carole",SAINT-BRUNO--SAINT-HUBERT,25517,full_name,187
38,4060,"STRAHL, Chuck",CHILLIWACK--FRASER CANYON,1450,full_name,78
38,4061,"STECKLE, Paul",HURON--BRUCE,705,full_name,166
38,4065,"TILSON, David",DUFFERIN--CALEDON,25461,full_name,163
38,4067,"THIBAULT, Louise",RIMOUSKI--TEMISCOUATA,25460,full_name,163
38,4070,"MACKENZIE, Dave",OXFORD,891,full_name,188
38,4072,"BELL, Don H.",NORTH VANCOUVER,25473,surname_constituency,180
38,4073,"FAILLE, Meili",VAUDREUIL--SOULANGES,25500,full_name,188
38,4075,"BLAIS, Raynald",GASPESIE--ILES-DE-LA-MADELEINE,25476,full_name,189
38,4077,"BENNETT, Carolyn",ST. PAUL'S,992,full_name,176
38,4080,"TROST, Bradley R.",SASKATOON--HUMBOLDT,25462,surname_constituency,187
38,4081,"PROULX, Marcel",HULL--AYLMER,1784,full_name,161
38,4084,"BAKOPANOS, Eleni",AHUNTSIC,151,full_name,185
38,4086,"SCOTT, Andy",FREDERICTON,119,full_name,171
38,4087,"CHAN, Raymond",RICHMOND,1536,full_name,187
38,4092,"MCKAY, John",SCARBOROUGH--GUILDWOOD,957,full_name,177
38,4094,"ANDRE, Guy",BERTHIER--MASKINONGE,25469,full_name,188
38,4096,"ZED, Paul",SAINT JOHN,124,full_name,164
38,4097,"LUKIWSKI, Tom",REGINA--LUMSDEN--LAKE CENTRE,25520,full_name,186
38,4098,"RITZ, Gerry",BATTLEFORDS--LLOYDMINSTER,1209,full_name,177
39,266,"WAPPEL, Tom",SCARBOROUGH SOUTHWEST,971,full_name,175
39,318,"KARYGIANNIS, Jim",SCARBOROUGH--AGINCOURT,946,full_name,238
39,443,"MILLIKEN, Peter",KINGSTON AND THE ISLANDS,,no_official_observation,0
39,521,"MARTIN, Paul",LASALLE--EMARD,306,full_name,88
39,530,"FONTANA, Joe",LONDON NORTH CENTRE,759,full_name,27
39,712,"THOMPSON, Greg",NEW BRUNSWICK SOUTHWEST,114,full_name,368
39,718,"LEE, Derek",SCARBOROUGH--ROUGE RIVER,963,full_name,322
39,907,"GUARNIERI, Albina",MISSISSAUGA EAST--COOKSVILLE,789,full_name,290
39,1029,"PLAMONDON, Louis",BAS-RICHELIEU--NICOLET--BECANCOUR,413,full_name,368
39,1317,"CASEY, Bill",CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,51,full_name,162
39,1317.1,"CASEY, Bill",CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,51,full_name,45
39,1613,"BLACKBURN, Jean-Pierre",JONQUIERE--ALMA,35368,full_name,356
39,1788,"VOLPE, Joe",EGLINTON--LAWRENCE,608,surname_constituency,145
39,1912,"TURNER, Garth",HALTON,35592,full_name,40
39,1912.1,"TURNER, Garth",HALTON,35592,full_name,52
