Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
232,Christine Moore (Abitibi—Témiscamingue),NDP,Yea,
71380,Dany Morin (Chicoutimi—Le Fjord),NDP,Yea,
71533,Marie-Claude Morin (Saint-Hyacinthe—Bagot),NDP,Yea,
71477,Isabelle Morin (Notre-Dame-de-Grâce—Lachine),NDP,Yea,
71430,Marc-André Morin (Laurentides—Labelle),NDP,Yea,
26684,Thomas Mulcair (Outremont),NDP,Yea,
35950,Joyce Murray (Vancouver Quadra),Liberal,Yea,
71447,Pierre Nantel (Longueuil—Pierre-Boucher),NDP,Yea,
3242,Peggy Nash (Parkdale—High Park),NDP,Yea,
71566,Jamie Nicholls (Vaudreuil-Soulanges),NDP,Yea,
820,Rob Nicholson (Niagara Falls),Conservative,Yea,
30338,Rick Norlock (Northumberland—Quinte West),Conservative,Yea,
71436,José Nunez-Melo (Laval),NDP,Yea,
58866,Joe Oliver (Eglinton—Lawrence),Conservative,Yea,
58581,Tilly O'Neill Gordon (Miramichi),Conservative,Yea,
71625,Ted Opitz (Etobicoke Centre),Conservative,Yea,
72773,Erin O'Toole (Durham),Conservative,Yea,
9135,Massimo Pacetti (Saint-Léonard—Saint-Michel),Independent,Yea,
71499,Annick Papillon (Québec),NDP,Yea,
35422,Christian Paradis (Mégantic—L'Érable),Conservative,Yea,
59217,LaVar Payne (Medicine Hat),Conservative,Yea,
71420,Ève Péclet (La Pointe-de-l'Île),NDP,Yea,
86788,Pat Perkins (Whitby—Oshawa),Conservative,Yea,
71471,Manon Perreault (Montcalm),Independent,Yea,
71439,François Pilon (Laval—Les Îles),NDP,Yea,
413,Louis Plamondon (Bas-Richelieu—Nicolet—Bécancour),Bloc Québécois,Yea,
25524,Pierre Poilievre (Nepean—Carleton),Conservative,Yea,
25448,Joe Preston (Elgin—Middlesex—London),Conservative,Yea,
71350,Anne Minh-Thu Quach (Beauharnois—Salaberry),NDP,Yea,
30467,John Rafferty (Thunder Bay—Rainy River),NDP,Yea,
54325,Lisa Raitt (Halton),Conservative,Yea,
1826,James Rajotte (Edmonton—Leduc),Conservative,Yea,
60078,Murray Rankin (Victoria),NDP,Yea,
58661,Francine Raynault (Joliette),NDP,Yea,
1760,Geoff Regan (Halifax West),Liberal,Yea,
1827,Scott Reid (Lanark—Frontenac—Lennox and Addington),Conservative,Yea,
71902,Michelle Rempel (Calgary Centre-North),Conservative,Yea,
59235,Blake Richards (Wild Rose),Conservative,Yea,
58914,Greg Rickford (Kenora),Conservative,Yea,
1209,Gerry Ritz (Battlefords—Lloydminster),Conservative,Yea,
58637,Jean Rousseau (Compton—Stanstead),NDP,Yea,
71482,Romeo Saganash (Abitibi—Baie-James—Nunavik—Eeyou),NDP,Yea,
72052,Jasbir Sandhu (Surrey North),NDP,Yea,
59287,Andrew Saxton (North Vancouver),Conservative,Yea,
913,Gary Schellenberger (Perth—Wellington),Conservative,Yea,
75006,Craig Scott (Toronto—Danforth),NDP,Yea,
58841,Kyle Seeback (Brampton West),Conservative,Yea,
71530,Djaouida Sellah (Saint-Bruno—Saint-Hubert),NDP,Yea,
1787,Judy A. Sgro (York West),Liberal,Yea,
58537,Gail Shea (Egmont),Conservative,Yea,
31664,Bev Shipley (Lambton—Kent—Middlesex),Conservative,Yea,
59182,Devinder Shory (Calgary Northeast),Conservative,Yea,
25456,Scott Simms (Bonavista—Gander—Grand Falls—Windsor),Liberal,Yea,
72018,Jinny Jogindera Sims (Newton—North Delta),NDP,Yea,
