vote_number,date,subject,bill_number,result,yeas,nays,paired
406,2015-05-25T14:41:40,"2nd reading of Bill C-59, An Act to implement certain provisions of the budget tabled in Parliament on April 21, 2015 and other measures",C-59,Agreed To,149,118,0
405,2015-05-25T14:41:00,"2nd reading of Bill C-59, An Act to implement certain provisions of the budget tabled in Parliament on April 21, 2015 and other measures (reasoned amendment)",C-59,Negatived,117,150,0
404,2015-05-14T11:20:24,"Time allocation for Bill C-59, An Act to implement certain provisions of the budget tabled in Parliament on April 21, 2015 and other measures",C-59,Agreed To,136,105,0
403,2015-05-13T18:00:57,"2nd reading of Bill C-638, An Act to amend the Canada Shipping Act, 2001 (wreck)",C-638,Negatived,113,145,0
402,2015-05-12T18:00:00,Opposition Motion (Care for veterans),,Agreed To,266,0,0
401,2015-05-12T12:34:05,Referral of a question of privilege to committee,,Negatived,117,145,0
400,2015-05-11T17:30:42,Opposition Motion (Feminine hygiene products),,Agreed To,258,0,0
399,2015-05-07T10:30:55,Ways and Means motion No. 22,,Agreed To,146,111,0
398,2015-05-06T18:40:49,"2nd reading of Bill C-356, An Act respecting a National Strategy for Dementia",C-356,Negatived,139,140,0
397,2015-05-06T18:30:04,"2nd reading of Bill C-641, An Act to ensure that the laws of Canada are in harmony with the United Nations Declaration on the Rights of Indigenous Peoples",C-641,Negatived,131,149,0
396,2015-05-06T18:20:17,"2nd reading of Bill C-637, An Act to amend the Criminal Code (firearms storage and transportation)",C-637,Agreed To,151,128,0
395,2015-05-06T18:10:46,"3rd reading and adoption of Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts",C-51,Agreed To,183,96,0
394,2015-05-06T18:00:59,"3rd reading and adoption of Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts (reasoned amendment)",C-51,Negatived,95,183,0
393,2015-05-04T18:55:00,"2nd reading of Bill C-50, An Act to amend the Canada Elections Act",C-50,Agreed To,142,106,0
